Q221310,Anggun C. Sasmi,penyanyi-penulis lagu Indonesia-Prancis
Q6187937,Jessy Rompies,Indonesian tennis player
Q6372516,Karlina Supelli,filsuf dan astronomer asal Indonesia
Q6509386,Idris Sardi,komposer asal Indonesia
Q6745424,Maman Abdurrahman Dulur si wahid,football player
Q4201732,Hatta Rajasa,politikus Indonesia
Q7419814,Ryamizard Ryacudu,Mantan Menteri Pertahanan Republik Indonesia
Q7809983,Titi Kamal,pemeran perempuan asal Indonesia
Q9027531,Mansyur S,Indonesian singer
Q4263166,D. Djajakusuma,pemeran laki-laki asal Indonesia
Q2627581,Omar Dhani,politisi Indonesia
Q3118591,Siti Fadilah,Menteri Kesehatan Indonesia ke-15
Q3472874,Widji Thukul,penyair dan aktivis asal Indonesia
Q3655984,Nyi Ageng Serang,pahlawan nasional Indonesia
Q4196055,Djoko Santoso,tokoh militer Indonesia
Q7207401,Poerbatjaraka,Indonesian academic
Q587188,Cakka Nuraga,Indonesian singer
Q1708087,Joseph Theodorus Suwatan,Indonesian Roman Catholic bishop
Q18325159,Pah Wongso,pemeran laki-laki asal Indonesia
Q11108578,Aminah Cendrakasih,pemeran perempuan asal Indonesia
Q2838542,Zubir Said,"Komponis musik | Pengarang musik ""Majulah Singapura"""
Q15229725,Kevin Sanjaya Sukamuljo,pemain bulu tangkis asal Indonesia
Q77836,Carl Langbehn,German resistance member (1901-1944)
Q49254232,Upiak Isil,Penyanyi dari Indonesia
Q538910,Ellen Angelina,pemain bulu tangkis asal Indonesia
Q468481,Ali Moertopo,Pahlawan Revolusi Kemerdekaan
Q12483474,Ganjar Pranowo,"Gubernur ke-15 Jawa Tengah, Indonesia"
Q4115277,Hidayat Nur Wahid,politikus Indonesia
Q17410605,Iriana,ibu negara Indonesia ke-7
Q978833,Hendri Kurniawan Saputra,badminton player
Q7476096,Habiburrahman El Shirazy,pemeran laki-laki asal Indonesia
Q1387931,Nurcholish Madjid,Muslim scholar
Q2091244,Wilopo,Pahlawan Revolusi Kemerdekaan
Q7844727,Triyaningsih,Indonesian distance runner
Q1813144,Ru van der Haar,field hockey player
Q3745,Ahmad Heryawan,mantan gubernur Jawa Barat
Q1061473,Dewi Lestari,"Penulis, penyanyi, dan pengarang lagu asal Indonesia"
Q1133511,Cornelis Christiaan Berg,Ahli Botani Belanda
Q2342229,Halim Perdanakusuma,Pahlawan Revolusi Kemerdekaan
Q5262470,Ruth Sahanaya,Penyanyi Indonesia
Q500157,Talitha Getty,Dutch actress (1940-1971)
Q1182143,Dede Oetomo,Indonesian LGBT rights activist
Q7475943,Laudya Cynthia Bella,pemeran perempuan asal Indonesia
Q12498215,Meriam Bellina,pemeran perempuan asal Indonesia
Q868611,Praveen Jordan,Indonesian badminton player
Q4116080,Ponaryo Astaman,Indonesian footballer
Q578617,Lo La Chapelle,Dutch footballer (1888-1966)
Q17122267,Antonius Subianto Bunjamin,Uskup Bandung sejak 2014
Q19655501,Isyana Sarasvati,penyanyi-penulis lagu Indonesia
Q3440970,Romana Tedjakusuma,pemain tennis Indonesia
Q33160,Sule,pelawak Indonesia
Q2249484,Hamengkubuwana VI,sultan Yogyakarta
Q2581159,Hamengkubuwana V,sultan Yogyakarta
Q2584101,Hamengkubuwana VII,sultan Yogyakarta
Q4160009,Adrianus Djajasepoetra,Catholic archbishop
Q1687024,Jenny Dalenoord,Dutch painter and illustrator (1918-2013)
Q517755,Philippe Bär,Catholic bishop
Q3498286,Firman Utina,Indonesian footballer
Q6108912,Rima Melati,pemeran perempuan asal Indonesia
Q2370267,Riri Riza,sutradara produser film Indonesia
Q12499835,Nafsiah Mboi,Menteri Kesehatan Indonesia ke-17
Q4189316,Nico Thomas,Indonesian boxer
Q981536,Ida Anak Agung Gde Agung,Pahlawan Revolusi Kemerdekaan
Q2375169,I Gede Siman Sudartawa,Indonesian swimmer
Q745917,Filep Karma,West Papuan independence activist
Q1923816,Po Binasuor,king of Champa
Q6875185,Misbach Yusa Biran,sutradara dan penulis asal Indonesia
Q1441813,Franciscus Xaverius Sudartanta Hadisumarta,Uskup Emeritus Manokwari-Sorong
Q402998,Leonardus Benyamin Moerdani,tokoh militer Indonesia
Q3572174,Yenny Wahid,politisi Indonesia
Q608600,Susanto Megaranto,Indonesian chess player
Q4273010,Iis Dahlia,penyanyi dan pemeran perempuan asal Indonesia
Q4200552,Jero Wacik,politisi Indonesia
Q187415,Zelin Resiana,pemain bulu tangkis asal Indonesia
Q7585838,Sri Indriyani,atlet angkat besi asal Indonesia
Q12470581,Abdulrahman Saleh (pahlawan),Pahlawan Revolusi Kemerdekaan
Q12470600,Abimana Aryasatya,pemeran laki-laki asal Indonesia
Q12505429,Pevita Pearce,pemeran perempuan asal Indonesia
Q12507600,Rachmawati Soekarnoputri,tokoh politik dan pengacara Indonesia (1950–2021)
Q12500705,Nia Zulkarnaen,pemeran perempuan asal Indonesia
Q12523268,Unique Priscilla,pemeran perempuan asal Indonesia
Q12478398,Cassanova Alfonso,penyanyi asal Indonesia
Q13097203,Soerjadi Soedirdja,Mantan Gubernur DKI Jakarta
Q357640,Teuku Jacob,Indonesian paleoanthropologist (1929-2007)
Q4259946,Teuku Muhammad Hasan,Pahlawan Revolusi Kemerdekaan
Q3634460,Gedong Bagus Oka,tokoh pembaruan Hindu dan gerakan anti kekerasan di Indonesia
Q26227897,Memo,pace panbar
Q26254261,Rufino Gama,association football player
Q25468646,Stephanie Poetri,penyanyi Indonesia
Q117220,Pia Zebadiah,pemain bulu tangkis asal Indonesia
Q4201513,Sutoyo Siswomiharjo,pahlawan nasional Indonesia
Q5111674,Yuni Shara,penyanyi Indonesia
Q6892160,Mahfud MD,"Menteri Koordinator Politik, Hukum, dan Keamanan Republik Indonesia ke-14"
Q12480888,Dapunta Hyang,emperor of Srivijaya empire
Q12487847,Jessica Mila Agnesia,pemeran perempuan asal Indonesia
Q463093,Sigit Budiarto,Indonesian badminton player
Q11109918,Abdul Malik Fadjar,Indonesian politician
Q4990753,Rinni Wulandari,penyanyi indonesia
Q320928,Eddy de Neve,Dutch footballer (1885-1943)
Q353459,Ade Chandra,badminton player
Q469616,Endang Rahayu Sedyaningsih,Menteri Kesehatan Indonesia ke-16 dan politisi Indonesia
Q1061866,Christian Sugiono,pemeran laki-laki asal Indonesia
Q1334791,Satrio Hermanto,Mantan pembalap mobil profesional asal Indonesia
Q1396599,Linda Weni Fanetri,pemain bulu tangkis asal Indonesia
Q1523130,Marcus Fernaldi Gideon,Indonesian badminton player
Q1619725,Piet Salomons,Dutch water polo player
Q1635435,Djenar Maesa Ayu,penulis dan pemeran perempuan asal Indonesia
Q44988077,The Sacred Riana,ilusionis Indonesia
Q1993617,Mira Lesmana,produser film Indonesia
Q2053428,Qory Sandioriva,"aktris, model dan pemenang kontes kecantikan Puteri Indonesia 2009"
Q3545963,Leila S. Chudori,penulis dan wartawan asal Indonesia
Q3663579,Kamila Andini,sutradara asal Indonesia
Q1136098,Cosmas Michael Angkur,Indonesian Roman Catholic bishop
Q6854752,Idham Chalid,Politisi dan ulama Indonesia
Q15533047,Masita Mahmudin,pemain bulu tangkis asal Indonesia
Q4259877,Kurnia Meiga Hermansyah,Pemain sepak bola Indonesia
Q4264970,Pinkan Mambo,penyanyi Indonesia
Q4460863,Titi Rajo Bintang,pemeran perempuan asal Indonesia
Q4695486,Ahmad Taufik,jurnalis Indonesia
Q4815122,Marie Beatrice Schol-Schwarz,Dutch phytopathologist (1898-1969)
Q5249736,Deddy Mizwar,pemeran laki-laki asal Indonesia
Q961117,Rudy Kousbroek,Dutch writer
Q4724605,Ali Akbar Navis,Sastrawan dan budayawan Indonesia
Q5296722,Donny Alamsyah,pemeran laki-laki asal Indonesia
Q6136277,Surya Saputra,pemeran laki-laki asal Indonesia
Q2419755,Fiona Tan,Indonesian sculptor
Q2053679,Maria Selena,model dan pemenang kontes kecantikan Puteri Indonesia 2011
Q4198988,Tantowi Yahya,Indonesian presenter and politician
Q97222180,Lyodra Ginting,penyanyi dan pemeran perempuan asal Indonesia
Q7694770,Teguh Karya,sutradara dan pemeran film asal Indonesia
Q7476090,Shireen Sungkar,pemeran perempuan asal Indonesia
Q1106653,Coen Zuidema,Dutch chess player
Q1702607,Joko Suprianto,Mantan atlet bulu tangkis Indonesia (lahir 1966)
Q2202270,Amien Rais,politikus asal Indonesia
Q2330098,Pakubuwana X,pahlawan nasional Indonesia
Q2417617,Pakubuwana IX,Susuhunan Surakarta
Q3502316,Mardiyanto,politisi Indonesia
Q4726672,Alimin,Pahlawan Revolusi Kemerdekaan
Q6723714,Soesanto Tirtoprodjo,politisi Indonesia
Q7399523,Saharjo,Pahlawan Revolusi Kemerdekaan
Q1385041,Nicolaus Adi Seputra,Indonesian priest
Q12483575,Gatot Nurmantyo,tokoh militer Indonesia
Q448673,Alvent Yulianto,Indonesian badminton player
Q18421453,Subiakto Tjakrawerdaya,Indonesian politician
Q4189748,Roy Marten,pemeran laki-laki asal Indonesia
Q15882992,Toto Koopman,Dutch model (1908-1991)
Q4251401,Untung Syamsuri,Tokoh yang terlibat dalam Gerakan 30sPki
Q56400139,Aries Susanti Rahayu,Pemanjat tebing Indonesia (lahir 1995)
Q3231014,Roestam Effendi,politisi Indonesia
Q5989792,Idrus,writer (1921-1979)
Q4273018,Anang Hermansyah,"musikus, produser, dan politikus Indonesia"
Q706366,Liem Swie King,pemain bulu tangkis asal Indonesia
Q4815161,Elizabeth A. Widjaja,"peneliti, ahli bambu asal Indonesia"
Q503650,Max van Egmond,Dutch singer (1936-)
Q699041,Fuad Hassan,politisi Indonesia Direktur Utama Indosiar
Q1383895,Hubertus Johannes van Mook,Dutch colonial governor (1894-1965)
Q4423167,Winarni Binti Slamet,atlet angkat besi asal Indonesia
Q4264061,Sinta Nuriyah,Ibu Negara Indonesia ke-4
Q4272199,Gombloh,Indonesian singer
Q6761640,Maria Ulfah,qoriah Indonesia (lahir 1955)
Q15498314,Daryono,Indonesian footballer
Q5261540,Gatot Soebroto,Pahlawan Nasional Indonesia
Q441620,Shendy Puspa Irawati,pemain bulu tangkis asal Indonesia
Q1306699,Soebandrio,politikus Indonesia (1914-2004)
Q1022998,Nicky Astria,penyanyi dan pemeran perempuan asal Indonesia
Q3244615,Adipati Dolken,pemeran laki-laki asal Indonesia
Q4188193,Tamara Bleszynski,pemeran perempuan asal Indonesia
Q4232763,Sijfert Hendrik Koorders,botanist (1863-1919)
Q4272043,Djoko Iskandar,Indonesian herpetologist
Q4273038,Trie Utami,penyanyi indonesia
Q87672993,Corona Rintawan,Dokter spesialis kedaruratan medis asal Indonesia
Q6425253,Melody Nurramdhani Laksani,penyanyi Indonesia
Q7322170,Rianti Cartwright,pemeran perempuan asal Indonesia
Q7333042,Ridwan Kamil,Gubernur Jawa Barat dari 2018 sampai sekarang
Q7805962,Agus Harimurti Yudhoyono,politikus Indonesia
Q519540,Eliza Nathanael,pemain bulu tangkis asal Indonesia
Q664383,Hendrik Cornelis Siebers,Dutch ornithologist (1890-1949)
Q941903,Kick Stokhuyzen,Dutch politician (1930-2009)
Q967941,Roeslan Abdulgani,Tentara dan politikus Indonesia
Q1281022,Hugo van Lawick,Dutch film director (1937-2002)
Q1321945,John Wijngaards,Catholic theologian
Q1352144,Guus van Hecking Colenbrander,Dutch footballer (1887-1945)
Q2424939,Bima Sakti Tukiman,Indonesian footballer
Q12512127,Saphira Indah,pemeran perempuan asal Indonesia
Q1754466,Dolf van der Nagel,Dutch footballer (1889-1949)
Q3136157,Rudi Soedjarwo,Indonesian film director
Q3658142,Kwee Tek Hoay,penulis dan jurnalis Indonesia (1886-1951)
Q18421371,Setya Novanto,Politisi Indonesia
Q4261583,Olla Ramlan,pemeran perempuan asal Indonesia
Q2196837,André Wetzel,Dutch footballer and manager
Q2248705,Erik Hazelhoff Roelfzema,"Dutch wartime pilot, spy and writer"
Q2526777,Vincentius Sutikno Wisaksono,Uskup Gereja Katolik Roma untuk Keuskupan Surabaya
Q2603608,Mas Tirtodarmo Harjono,pahlawan nasional Indonesia
Q7438987,Soe Tjen Marching,"Musikus, penulis, feminis, dan sastrawan asal Indonesia"
Q12486743,Iqbaal Ramadhan,penyanyi dan pemeran laki-laki asal Indonesia
Q17411245,Samuel Oton Sidin,Uskup Sintang
Q6492661,Kusumah Atmaja,Pahlawan Revolusi Kemerdekaan
Q981547,Frans Seda,politisi Indonesia
Q7461716,Wilhelmus Zakaria Johannes,Pahlawan Revolusi Kemerdekaan
Q12485593,Herman Johannes,Pahlawan Revolusi Kemerdekaan
Q96989495,Ali Taher,Indonesian politician
Q1419304,Jack Jersey,"Dutch singer, music producer, composer, lyricist, music arranger, musician"
Q441642,Erna Spoorenberg,Dutch singer and opera singer (1926-2004)
Q731740,Wiranto,politikus Indonesia
Q1706622,Saeroen,Journalist and screenwriter
Q2140777,Paku Alam VIII,Adipati dari Pakualaman ke-8 dan Gubernur Daerah Istimewa Yogyakarta ke-2
Q3241958,Morgan Oey,pemeran laki-laki asal Indonesia
Q16724322,Ihsan Maulana Mustofa,Pemain bulu tangkis asal Indonesia
Q60307,Richi Puspita Dili,pemain bulu tangkis asal Indonesia
Q1620119,Hans Stam,Dutch water polo player
Q4790571,Arifin C. Noer,tokoh seni teater indonesia
Q12478640,Chitra Dewi,pemeran perempuan asal Indonesia
Q4264877,Desy Ratnasari,pemeran perempuan asal Indonesia
Q28976374,Ikhsan Rumbay,pemain bulu tangkis asal Indonesia
Q4116077,Syamsul Bachri Chaeruddin,Indonesian footballer
Q75989,Hans Gugelot,German architect
Q127986,David Jacobs,Indonesian Paralympic table tennis player
Q4975924,Paramitha Rusady,pemeran perempuan asal Indonesia
Q558988,Carel Herman Aart van der Wijck,Dutch politician (1840-1914)
Q3498278,Ricardo Salampessy,Indonesian footballer
Q4200660,Broery Marantika,pemeran laki-laki asal Indonesia
Q18177473,Maria Natalia Londa,Indonesian female athlete
Q1766782,Umar Patek,Indonesian terrorist
Q2313666,Jaya Suprana,Indonesian businessman
Q2084730,Oktovianus Maniani,Indonesian footballer
Q3083011,Frans Kaisiepo,Pahlawan Revolusi Kemerdekaan
Q4199372,Evan Sanders,pemeran laki-laki asal Indonesia
Q4200563,Ellyas Pical,Indonesian boxer
Q6771459,Markus Haris Maulana,Indonesian footballer
Q4250996,D.I. Pandjaitan,pahlawan nasional Indonesia
Q2649325,Ahmad Syafii Maarif,ulama dan cendekiawan asal Indonesia (1935–2022)
Q4250939,Adinegoro,"Reporter, writer, analyst"
Q4252062,Utuy Tatang Sontani,writer (1920-1979)
Q255619,Zaenal Arief,Indonesian footballer
Q528116,Rian Agung Saputra,badminton player
Q4202200,Hasyim Asyari,Ulama Indonesia dan pendiri Nahdlatul Ulama
Q6828395,Michael Bambang Hartono,pebisnis asal Indonesia
Q497951,Andreas Henrisusanta,Uskup Emeritus Tanjungkarang
Q4258815,Tjokorda Gde Raka Soekawati,politisi Indonesia
Q5350264,Eka Ramdani,Indonesian footballer
Q5268010,Dewa Budjana,gitaris Indonesia
Q4201241,Maria Walanda Maramis,Pahlawan Revolusi Kemerdekaan
Q21538605,Setyana Mapasa,badminton player
Q17410837,Nasrul Abit,politisi Indonesia
Q2604528,Willem van Outhoorn,Dutch colonial governor
Q818408,Benyamin Yosef Bria,Roman Catholic bishop
Q6543803,Lie Tek Swie,
Q16233583,Luke Smith,Australian volleyball player
Q26267479,Sudirman Hadi,Indonesian Olympic sprinter
Q12508562,Ria Irawan,pemeran perempuan asal Indonesia
Q12514113,Sheryl Sheinafia,penyanyi dan pemeran perempuan asal Indonesia
Q12912624,Ario Bayu,pemeran laki-laki asal Indonesia
Q13094789,Lydia Kandou,pemeran perempuan asal Indonesia
Q13095464,Nila Moeloek,Menteri Kesehatan Indonesia ke-18  dan ahli oftalmologi
Q14917401,Nia Daniati,pemeran perempuan asal Indonesia
Q15975470,Adrienne Jacqueline s' Jacob,Dutch painter (1857-1920)
Q19702167,Philo Paz Armand,Indonesian racing driver
Q468390,Mustafa Abubakar,politisi Indonesia
Q5227848,Daud Beureu'eh,Politisi Indonesia
Q19743809,Tara Basro,Pemeran perempuan asal Indonesia
Q12482563,Ermina Zaenah,pemeran perempuan asal Indonesia
Q4260406,Zulkifli Hasan,Menteri Perdagangan Indonesia ke-34
Q4806383,T.B. Simatupang,pahlawan nasional Indonesia
Q5629671,HIM Damsyik,pemeran laki-laki asal Indonesia
Q20716044,Rain Chudori,penulis Indonesia
Q201621,Alex McDowell,British production designer
Q2840640,Alwi Shihab,Indonesian politician
Q111550625,Nienke Brinkman,Dutch marathon runner
Q355715,Bernard Lievegoed,Dutch physician
Q820398,Walle Nauta,Dutch neuroscientist
Q10513620,Supardi Nasir,Indonesian footballer
Q149730,Njoo Cheong Seng,"Chinese Indonesian novelist, playwright, and director (1902-1962)"
Q2094306,Pieter van Royen,Dutch botanist (1923-2002)
Q2746664,Mohamad Roem,politikus Indonesia
Q11695743,Nini Carlina,Indonesian musician
Q28673279,Andri Syahputra,association football player
Q4378323,Prijono,politisi Indonesia
Q12507667,Radjiman Wedyodiningrat,pahlawan nasional Indonesia
Q2318919,Peter Alma,figurative constructivist painter (1886-1969)
Q2785083,Kees Hoving,swimmer
Q3275132,Teddy Yip,Pengusaha asal Indonesia
Q4262592,Ruhut Sitompul,politisi Indonesia
Q377689,Adriyanti Firdasari,pemain bulu tangkis asal Indonesia
Q468493,Meiliana Jauhari,pemain bulu tangkis asal Indonesia
Q520122,Jo Novita,pemain bulu tangkis asal Indonesia
Q520145,Taty Sumirah,pemain bulu tangkis asal Indonesia
Q544645,Verawaty Wiharjo,Pemain bulu tangkis asal Indonesia
Q954577,Ruben Gunawan,Indonesian chess player
Q983372,Suryadharma Ali,politisi Indonesia
Q1227398,Dirk van Cloon,Dutch colonial governor (1684-1735)
Q1235477,Dolf Kessler,Dutch football player and entrepreneur (1884-1945)
Q2131329,Pieter Mijer,Dutch statesman
Q2272083,Frans Tutuhatunewa,dokter asal Kerajaan Belanda
Q3212733,Ayushita,pemeran perempuan asal Indonesia
Q3546361,Marga T,dokter dan penulis asal Indonesia
Q3747301,Soekarno M. Noer,pemeran laki-laki asal Indonesia
Q514944,Nippy Noya,Indonesian musician
Q7660844,Silvester Tung Kiem San,Uskup Denpasar
Q12685130,Tjilik Riwut,Pahlawan Revolusi Kemerdekaan
Q54673076,Dwinita Larasati,Indonesian cartoonist and industrial designer
Q4216604,Alexander Rendell,pemeran laki-laki asal Indonesia
Q4252085,Marshanda,pemeran perempuan asal Indonesia
Q4254237,Heri Dono,"Indonesian sculptor, art painter and installation artist"
Q4261724,Oka Antara,pemeran laki-laki asal Indonesia dan rapper indonesia
Q4262867,Vidi Aldiano,penyanyi Indonesia
Q4673828,Achmad Kurniawan,Indonesian footballer (1979-2017)
Q4877155,Beatrice Gumulya,Indonesian tennis player
Q5247049,Erwin Gutawa,pemeran laki-laki asal Indonesia
Q5252631,Zaskia Sungkar,pemeran perempuan asal Indonesia
Q5263755,Zaskia Adya Mecca,pemeran perempuan asal Indonesia
Q5263775,Irwansyah,pemeran laki-laki asal Indonesia
Q12491594,Khatijah Sidek,politisi Malaysia
Q17410386,Rivai Apin,Pahlawan Revolusi Kemerdekaan
Q5429568,Fahmi Idris,pengusaha dan politisi Indonesia (1943–2022)
Q5637638,Haddad Alwi,penyanyi asal Indonesia
Q5711494,Audy Item,penyanyi Indonesia
Q6096780,Ivan Lanin,pakar internet Indonesia
Q6373557,Kartika Jahja,Seniman dan Aktivis Perempuan asal Indonesia
Q6514415,Lee Lin Chin,Australian journalist
Q7308404,Asmirandah,pemeran perempuan asal Indonesia
Q7285389,Ali Haji bin Raja Haji Ahmad,"Penyair, penulis, sejarawan, ilmuwan, cendekiawan, dan pahlawan Indonesia | Bapak Bahasa Indonesia"
Q60444872,Leani Ratri Oktila,pemain para bulu tangkis Indonesia
Q3243319,Imam Samudera,Teroris Asal Indonesia
Q7538599,Slamet Rahardjo,pemeran laki-laki asal Indonesia
Q7475753,Deddy Corbuzier,"Mentalis, pemeran, pembawa acara, dan YouTuber asal Indonesia"
Q7476209,Mikha Tambayong,pemeran perempuan asal Indonesia
Q468536,Maria Febe Kusumastuti,pemain bulu tangkis asal Indonesia
Q20852575,Gregoria Mariska Tunjung,pemain bulu tangkis tunggal putri Indonesia
Q11188587,Ferdinand Lumbantobing,Pahlawan Revolusi Kemerdekaan
Q20448002,Temenggong Daeng Ibrahim,temenggong of Johor (1810-1862)
Q255485,Alexander Djajasiswaja,Indonesian priest
Q736964,Pakubuwana VII,Susuhunan dari Surakarta
Q1903767,Pakubuwana II,pendiri dan susuhunan pertama Surakarta
Q2009448,Pakubuwana VIII,Susuhunan dari Surakarta
Q2439218,Pakubuwana I,Susuhunan dari Mataram
Q4201845,Samanhudi,Pahlawan Revolusi Kemerdekaan
Q983462,Muhammad Rizal,badminton player
Q4673827,Ahmad Jufrianto,pemain sepak bola asal Indonesia
Q26250635,Dewi Yuliawati,atlet dayung asal Indonesia
Q463102,Fung Permadi,badminton player
Q961729,Christian Hadinata,badminton player
Q28723650,Budi Karya Sumadi,Menteri Perhubungan Republik Indonesia
Q4261370,Rohana Kudus,pahlawan nasional Indonesia
Q12521725,Tjahjo Kumolo,mantan Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi
Q5714052,Hendro Kartiko,Indonesian footballer
Q5251570,Hanny R. Saputra,film director
Q4764412,Ani Idrus,jurnalis dan politikus Indonesia
Q3282061,Djamaludin Malik,"politikus, produser film, pengusaha asal Indonesia"
